Date,Frequency_Hz,Flow_Rate_BFPD,Intake_Pressure_Psi,Discharge_Pressure_Psi,Fluid_SG
2024-01-01,55,1024,486.01,1094.31,0.85
2024-01-02,60,993,505.63,1296.04,0.85
2024-01-03,58,1032,493.49,1186.33,0.85
2024-01-04,55,1076,495.13,1082.4,0.85
2024-01-05,60,988,494.08,1279.18,0.85
2024-01-06,55,988,491.36,1123.8,0.85
2024-01-07,60,1078,500.49,1250.51,0.85
2024-01-08,60,1038,491.69,1256.06,0.85
2024-01-09,60,976,502.7,1283.01,0.85
2024-01-10,58,1027,499.5,1194.94,0.85
2024-01-11,55,976,497.61,1128.54,0.85
2024-01-12,60,976,490.92,1266.28,0.85
2024-01-13,58,1012,494.23,1208.56,0.85
2024-01-14,60,904,507.55,1309.2,0.85
2024-01-15,60,913,505.01,1298.85,0.85
2024-01-16,60,971,490.22,1269.75,0.85
2024-01-17,58,949,500.99,1231.59,0.85
2024-01-18,58,1015,507.51,1209.29,0.85
2024-01-19,60,954,483.31,1264.64,0.85
2024-01-20,58,929,505.43,1240.98,0.85
2024-01-21,55,1073,493.37,1092.43,0.85
2024-01-22,60,988,505.71,1278.42,0.85
2024-01-23,60,1003,492.37,1260.51,0.85
2024-01-24,60,928,481.95,1279.04,0.85
2024-01-25,60,972,483.72,1254.67,0.85
2024-01-26,55,1005,500.48,1110.99,0.85
2024-01-27,60,942,502.6,1288.49,0.85
2024-01-28,60,1018,490.96,1255.83,0.85
2024-01-29,55,969,506.39,1141.28,0.85
2024-01-30,60,985,483.38,1271.76,0.85
2024-01-31,60,969,499.34,1288.18,0.85
2024-02-01,60,1092,487.89,1227.19,0.85
2024-02-02,60,999,493.48,1266.29,0.85
2024-02-03,60,947,500.47,1282.82,0.85
2024-02-04,58,1041,491.4,1188.47,0.85
2024-02-05,58,938,496.15,1224.83,0.85
2024-02-06,60,1010,510.06,1281.69,0.85
2024-02-07,60,902,494.23,1291.55,0.85
2024-02-08,60,933,508.36,1306.09,0.85
2024-02-09,60,1009,488.7,1269.43,0.85
2024-02-10,60,1036,505.3,1264.75,0.85
2024-02-11,60,1008,514.42,1287.25,0.85
2024-02-12,60,994,475.28,1255.0,0.85
2024-02-13,60,984,492.03,1266.75,0.85
2024-02-14,60,926,505.77,1303.62,0.85
2024-02-15,60,964,497.97,1282.47,0.85
2024-02-16,60,976,503.71,1284.69,0.85
2024-02-17,58,1052,493.96,1181.38,0.85
2024-02-18,58,1017,500.87,1206.48,0.85
2024-02-19,55,911,498.44,1152.87,0.85
2024-02-20,60,1016,511.68,1289.67,0.85
2024-02-21,55,980,502.54,1138.7,0.85
2024-02-22,58,966,503.38,1241.46,0.85
2024-02-23,60,1030,495.88,1252.66,0.85
2024-02-24,58,1051,495.12,1195.12,0.85
2024-02-25,60,1046,495.67,1253.93,0.85
2024-02-26,55,958,503.94,1156.49,0.85
2024-02-27,55,984,495.79,1117.7,0.85
2024-02-28,60,1016,502.9,1263.91,0.85
2024-02-29,58,1048,520.75,1210.89,0.85
2024-03-01,55,976,508.71,1123.71,0.85
2024-03-02,60,990,496.74,1267.68,0.85
2024-03-03,60,944,512.01,1294.92,0.85
2024-03-04,58,940,495.92,1224.68,0.85
2024-03-05,60,1040,479.62,1237.28,0.85
2024-03-06,55,1067,489.92,1099.17,0.85
2024-03-07,55,996,481.29,1107.5,0.85
2024-03-08,60,1050,496.48,1241.22,0.85
2024-03-09,60,1018,500.18,1252.52,0.85
2024-03-10,60,967,516.76,1294.72,0.85
2024-03-11,60,1018,503.27,1250.57,0.85
2024-03-12,60,1076,497.81,1247.11,0.85
2024-03-13,60,998,508.29,1278.6,0.85
2024-03-14,58,1078,477.89,1147.29,0.85
2024-03-15,60,869,502.36,1288.35,0.85
2024-03-16,58,1041,507.71,1201.71,0.85
2024-03-17,58,1004,485.21,1179.8,0.85
2024-03-18,55,985,511.44,1134.78,0.85
2024-03-19,55,1004,503.38,1098.75,0.85
2024-03-20,60,900,495.85,1276.01,0.85
2024-03-21,60,989,506.33,1263.14,0.85
2024-03-22,60,1017,522.71,1269.51,0.85
2024-03-23,58,1073,501.82,1165.12,0.85
2024-03-24,55,974,502.48,1120.03,0.85
2024-03-25,55,959,495.41,1104.25,0.85
2024-03-26,58,974,491.5,1187.2,0.85
2024-03-27,60,1045,508.3,1241.56,0.85
2024-03-28,60,1016,491.44,1236.35,0.85
2024-03-29,60,973,500.72,1259.75,0.85
2024-03-30,58,1025,495.22,1163.81,0.85
2024-03-31,60,1004,504.79,1235.46,0.85
2024-04-01,60,1048,503.34,1239.44,0.85
2024-04-02,60,964,510.38,1265.32,0.85
2024-04-03,60,983,494.9,1235.13,0.85
2024-04-04,58,980,497.3,1195.6,0.85
2024-04-05,58,926,490.21,1193.19,0.85
2024-04-06,58,1014,495.56,1178.42,0.85
2024-04-07,60,1013,503.77,1236.81,0.85
2024-04-08,55,1000,507.57,1115.56,0.85
2024-04-09,55,988,490.78,1099.52,0.85
2024-04-10,55,929,508.7,1119.78,0.85
2024-04-11,55,978,513.56,1117.84,0.85
2024-04-12,60,982,504.13,1246.03,0.85
2024-04-13,60,959,518.77,1271.97,0.85
2024-04-14,58,991,492.26,1159.43,0.85
2024-04-15,55,1020,487.55,1073.57,0.85
2024-04-16,58,1094,482.21,1128.89,0.85
2024-04-17,58,1008,514.96,1168.34,0.85
2024-04-18,55,1012,506.54,1078.82,0.85
2024-04-19,58,996,499.44,1152.86,0.85
2024-04-20,58,904,502.8,1195.48,0.85
2024-04-21,60,998,488.75,1217.49,0.85
2024-04-22,60,1003,524.46,1256.66,0.85
2024-04-23,55,1123,501.29,1041.95,0.85
2024-04-24,58,990,501.09,1178.83,0.85
2024-04-25,60,1015,507.26,1211.57,0.85
2024-04-26,60,998,504.81,1210.99,0.85
2024-04-27,60,941,502.24,1236.42,0.85
2024-04-28,60,1057,492.1,1193.06,0.85
2024-04-29,55,1037,504.71,1069.02,0.85
2024-04-30,55,1039,518.82,1066.75,0.85
2024-05-01,60,954,513.45,1239.66,0.85
2024-05-02,55,1070,515.93,1057.95,0.85
2024-05-03,60,929,494.89,1231.72,0.85
2024-05-04,60,1029,490.1,1194.11,0.85
2024-05-05,60,1109,498.74,1165.92,0.85
2024-05-06,58,950,500.56,1163.48,0.85
2024-05-07,60,971,510.94,1219.06,0.85
2024-05-08,58,1004,483.08,1131.33,0.85
2024-05-09,60,974,515.3,1235.35,0.85
2024-05-10,60,922,498.42,1218.11,0.85
2024-05-11,58,1003,495.73,1145.95,0.85
2024-05-12,60,946,489.88,1204.1,0.85
2024-05-13,60,1023,483.45,1172.03,0.85
2024-05-14,55,954,508.23,1085.67,0.85
2024-05-15,55,1077,500.73,1032.52,0.85
2024-05-16,55,960,487.1,1057.68,0.85
2024-05-17,55,983,487.05,1045.34,0.85
2024-05-18,55,1040,496.64,1060.07,0.85
2024-05-19,60,938,516.69,1230.45,0.85
2024-05-20,55,1011,497.4,1048.75,0.85
2024-05-21,58,1065,484.97,1104.91,0.85
2024-05-22,60,919,497.54,1212.37,0.85
2024-05-23,55,1009,497.27,1050.45,0.85
2024-05-24,60,1012,473.03,1164.58,0.85
2024-05-25,58,1039,499.46,1128.18,0.85
2024-05-26,55,938,497.69,1066.81,0.85
2024-05-27,60,933,506.96,1209.46,0.85
2024-05-28,60,1026,518.49,1195.68,0.85
2024-05-29,60,1014,511.27,1175.96,0.85
2024-05-30,60,1012,497.31,1167.52,0.85
2024-05-31,60,1017,488.93,1177.96,0.85
2024-06-01,58,965,525.73,1176.36,0.85
2024-06-02,55,1011,500.59,1045.04,0.85
2024-06-03,60,1014,500.14,1181.24,0.85
2024-06-04,60,964,499.76,1192.45,0.85
2024-06-05,60,1093,501.98,1175.3,0.85
2024-06-06,58,1023,498.56,1124.03,0.85
2024-06-07,58,940,494.26,1133.45,0.85
2024-06-08,60,1032,494.53,1154.11,0.85
2024-06-09,58,951,499.67,1123.17,0.85
2024-06-10,60,1039,494.57,1158.79,0.85
2024-06-11,60,1057,492.87,1143.43,0.85
2024-06-12,58,958,501.06,1121.06,0.85
2024-06-13,60,1048,497.45,1149.89,0.85
2024-06-14,60,1020,515.04,1171.54,0.85
2024-06-15,55,1041,473.49,1013.26,0.85
2024-06-16,60,1094,510.92,1157.31,0.85
2024-06-17,60,987,512.46,1183.42,0.85
2024-06-18,60,962,479.27,1167.26,0.85
2024-06-19,58,955,496.57,1122.15,0.85
2024-06-20,60,959,496.29,1165.91,0.85
2024-06-21,58,996,485.92,1109.02,0.85
2024-06-22,55,1017,492.22,1025.28,0.85
2024-06-23,60,1013,488.89,1139.0,0.85
2024-06-24,55,1041,517.52,1036.49,0.85
2024-06-25,58,1000,509.36,1109.93,0.85
2024-06-26,60,1072,512.72,1139.96,0.85
2024-06-27,60,986,507.22,1175.53,0.85
2024-06-28,60,1136,488.71,1118.4,0.85
