Date,Observed_Pressure,Simulated_Pressure,Observed_OilRate,Simulated_OilRate
2020-01-01,4500,4510,2000,2050
2020-02-01,4480,4490,1980,1990
2020-03-01,4450,4475,1950,1980
2020-04-01,4420,4460,1900,1970
2020-05-01,4390,4440,1850,1950
2020-06-01,4350,4425,1820,1940
2020-07-01,4310,4350,1780,1800
2020-08-01,4280,4290,1750,1740
2020-09-01,4250,4240,1720,1710
2020-10-01,4210,4200,1690,1680
2020-11-01,4180,4160,1650,1630
2020-12-01,4150,4120,1600,1580
2021-01-01,4120,4090,1580,1550
2021-02-01,4080,4050,1550,1520
2021-03-01,4050,4010,1520,1490
2021-04-01,4010,3980,1500,1480
2021-05-01,3980,3950,1480,1460
2021-06-01,3950,3920,1450,1440
2021-07-01,3920,3880,1420,1410
2021-08-01,3890,3850,1400,1390
2021-09-01,3850,3810,1380,1370
2021-10-01,3820,3780,1350,1340
2021-11-01,3790,3750,1320,1310
2021-12-01,3750,3710,1300,1290