Date,Price
2023-01-01,76.50
2023-01-02,77.20
2023-01-03,76.93
2023-01-04,72.84
2023-01-05,73.67
2023-01-06,73.77
2023-01-07,74.50
2023-01-08,74.63
2023-01-09,74.63
2023-01-10,75.12
2023-01-11,77.41
2023-01-12,78.39
2023-01-13,79.86
2023-01-14,79.86
2023-01-15,79.86
2023-01-16,79.11
2023-01-17,80.18
2023-01-18,79.48
2023-01-19,80.33
2023-01-20,81.31
2023-01-21,81.60
2023-01-22,81.60
2023-01-23,81.62
2023-01-24,80.13
2023-01-25,80.15
2023-01-26,81.01
2023-01-27,79.68
2023-01-28,79.68
2023-01-29,79.68
2023-01-30,77.90